imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_8.tif,leitura_1_1,MongoDB,0.0028328895568847656,66.7,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_1.tif,insercao,PostgreSQL,0.022024154663085938,25.0,56.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_1.tif,insercao,MongoDB,0.0024871826171875,0.0,56.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_1.tif,leitura_1_1,PostgreSQL,0.001575469970703125,0.0,56.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_1.tif,leitura_1_1,MongoDB,0.0031061172485351562,0.0,56.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_2.tif,insercao,PostgreSQL,0.022115468978881836,30.8,58.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_2.tif,insercao,MongoDB,0.0018956661224365234,0.0,58.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_2.tif,leitura_1_1,PostgreSQL,0.0012726783752441406,0.0,58.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_2.tif,leitura_1_1,MongoDB,0.002274036407470703,0.0,58.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_3.tif,insercao,PostgreSQL,0.024292945861816406,16.7,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_3.tif,insercao,MongoDB,0.002308368682861328,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_3.tif,leitura_1_1,PostgreSQL,0.0027871131896972656,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_3.tif,leitura_1_1,MongoDB,0.0033702850341796875,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_4.tif,insercao,PostgreSQL,0.021730661392211914,40.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_4.tif,insercao,MongoDB,0.0023963451385498047,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_4.tif,leitura_1_1,PostgreSQL,0.0015387535095214844,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_4.tif,leitura_1_1,MongoDB,0.00357818603515625,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_5.tif,insercao,PostgreSQL,0.022046327590942383,16.7,52.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_5.tif,insercao,MongoDB,0.0026140213012695312,0.0,52.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_5.tif,leitura_1_1,PostgreSQL,0.001499176025390625,66.7,52.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\104_5.tif,leitura_1_1,MongoDB,0.0028018951416015625,0.0,52.1
